Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
0.80,10,0.10,25,75,13145206.00,11019368.59
0.60,10,0.10,25,75,13102800.00,10379247.29
1.00,0,0.01,50,75,13168647.00,11649081.27
0.80,0,0.01,50,75,12744711.00,8121123.44
0.60,0,0.01,50,75,13117699.00,7795616.89
1.00,0,0.05,50,75,12883998.00,8998124.93
0.80,0,0.05,50,75,13033055.00,8819227.39
0.60,0,0.05,50,75,13098786.00,8354535.81
1.00,0,0.10,50,75,13111650.00,8096964.43
0.80,0,0.10,50,75,13097662.00,8680593.08
0.60,0,0.10,50,75,12945423.00,6937730.97
1.00,2,0.01,50,75,13429766.00,12441718.17
0.80,2,0.01,50,75,13311514.00,12940241.87
0.60,2,0.01,50,75,13461329.00,13221535.12
1.00,2,0.05,50,75,13524340.00,11362151.72
0.80,2,0.05,50,75,13501943.00,11824101.55
0.60,2,0.05,50,75,13266258.00,10427382.83
1.00,2,0.10,50,75,13281695.00,8026310.04
0.80,2,0.10,50,75,13402060.00,8786350.72
0.60,2,0.10,50,75,13306067.00,7375263.85
1.00,2,0.01,50,75,13293390.00,11389336.59
0.80,2,0.01,50,75,13549094.00,9451775.15
0.60,2,0.01,50,75,13350599.00,11418522.40
